text,acronym,option_text,label
"kilomètres/heure (ex : 12 pour 120 km/h), _x0001_ d'une lettre indiquant le respect ou non des tableaux indicateurs de vitesse de type C (C respecte les TIV, N ne respecte pas les TIV). Engin moteur Véhicule ayant la capacité de se déplacer par ses propres moyens",TIV,Tableau indicateur de vitesse,1
1.5. Glossaire Attestation de compatibilité Document délivré par RFF attestant la compatibilité des caractéristiques techniques d'un engin moteur avec les caractéristiques,RFF,Réseau férré de france,1
1.5. Glossaire Attestation de compatibilité Document délivré par RFF attestant la compatibilité des caractéristiques techniques d'un engin moteur avec les caractéristiques,RFF,ROSCOFF,0
Article A104 Systèmes de contrôle de vitesse et de franchissement des signaux d'arrêt Ligne équipée du Dispositif d’Arrêt Automatique des Trains (DAAT). Article A105 Radio sol-train et autres équipements A105.1 Radio sol-train,DAAT,Diagnostique Amiante Avant Travaux,0
Article A104 Systèmes de contrôle de vitesse et de franchissement des signaux d'arrêt Ligne équipée du Dispositif d’Arrêt Automatique des Trains (DAAT). Article A105 Radio sol-train et autres équipements A105.1 Radio sol-train,DAAT,"Dispositif d'Arrêt Automatique des Trains, contrôle de franchissement simplifié reposant sur une transmission sol-bord à l'aide de crocodiles et contribuant à la réduction du risque de nez à nez.  Le DAAT est installé sur les lignes à une seule voie non électrifiées.",1
COGC centre opérationnel de gestion des circulations EF entreprise ferroviaire EM engin moteur EPSF établissement public de sécurité ferroviaire GID gestionnaire d'infrastructure délégué,GID,"Gestionnaire d'Infrastructure Délégué :   Organisme, mentionné à l'article 9 du décret 2006-1279 modifié, chargé de la gestion du trafic et des circulations ainsi que du fonctionnement et de l'entretien des installations de sécurité et, le cas échéant, des installations techniques du réseau ferré national.",1
COGC centre opérationnel de gestion des circulations EF entreprise ferroviaire EM engin moteur EPSF établissement public de sécurité ferroviaire GID gestionnaire d'infrastructure délégué,GID,GIRONDE,0
Article A504 Passages à niveau (sauf usage exclusif des piétons)  Ligne de Peyraud à le Teil (Ardèche) PN n° KM Commune,PN,Paris Nord,0
Article A504 Passages à niveau (sauf usage exclusif des piétons)  Ligne de Peyraud à le Teil (Ardèche) PN n° KM Commune,PN,Période normale,0
Article A504 Passages à niveau (sauf usage exclusif des piétons)  Ligne de Peyraud à le Teil (Ardèche) PN n° KM Commune,PN,Partiellement noté,0
Article A504 Passages à niveau (sauf usage exclusif des piétons)  Ligne de Peyraud à le Teil (Ardèche) PN n° KM Commune,PN,Pousse non attelée,0
Article A504 Passages à niveau (sauf usage exclusif des piétons)  Ligne de Peyraud à le Teil (Ardèche) PN n° KM Commune,PN,PONS,0
Article A504 Passages à niveau (sauf usage exclusif des piétons)  Ligne de Peyraud à le Teil (Ardèche) PN n° KM Commune,PN,"Passages à niveau : fichier des pn, recensement des accidents de pn, statistiques (infrastructure)",0
Article A504 Passages à niveau (sauf usage exclusif des piétons)  Ligne de Peyraud à le Teil (Ardèche) PN n° KM Commune,PN,Passage à Niveau,1
Compatibilité : Oui/ restriction : - 25 kV peut assurer les trains transportant des voyageurs équipés du seul conducteur sur ligne désignée.       - 1500V peut assurer les trains transportant des voyageurs équipés du seul conducteur. (St Pierre d'Albigny à Chambéry) : US : autorisé,US,Ultra Son,0
Compatibilité : Oui/ restriction : - 25 kV peut assurer les trains transportant des voyageurs équipés du seul conducteur sur ligne désignée.       - 1500V peut assurer les trains transportant des voyageurs équipés du seul conducteur. (St Pierre d'Albigny à Chambéry) : US : autorisé,US,Unité simple : mode de traction utilisant un seul engin moteur (us tgv = 1 rame tgv - um tgv = 2 rames tgv),1
Compatibilité : Oui/ restriction : - 25 kV peut assurer les trains transportant des voyageurs équipés du seul conducteur sur ligne désignée.       - 1500V peut assurer les trains transportant des voyageurs équipés du seul conducteur. (St Pierre d'Albigny à Chambéry) : US : autorisé,US,Unité de signalisation,0
Compatibilité : Oui/ restriction : - 25 kV peut assurer les trains transportant des voyageurs équipés du seul conducteur sur ligne désignée.       - 1500V peut assurer les trains transportant des voyageurs équipés du seul conducteur. (St Pierre d'Albigny à Chambéry) : US : autorisé,US,US (Val-d'Oise),0
A105.1 Radio sol-train Section de ligne équipée de la liaison radio avec les trains RST de Malaunay Le Houlme à Clères. A105.2 Autres équipements A105.2.1 Équipement en personnel,RST,Registre de Sécurité Train : élément de la démonstration de la sécurité  en vue de l'obtention d'une autorisation de mise en circulation.,0
A105.1 Radio sol-train Section de ligne équipée de la liaison radio avec les trains RST de Malaunay Le Houlme à Clères. A105.2 Autres équipements A105.2.1 Équipement en personnel,RST,Radio Sol-Train.  Liaison avec TD : dialogue sélectif avec un mécanicien  Liaison sans TD : dialogue entendu dans tout le canton,1
"sélecteur de limitation de tension moteur  US néant ;  UM autorisée si l’espacement entre deux UM de TGV SE par sens de circulation est supérieur à :- 15 min entre les deux premières circulations,- 20 min entre la seconde circulation et la troisième et ainsi de suite.",US,US (Val-d'Oise),0
"sélecteur de limitation de tension moteur  US néant ;  UM autorisée si l’espacement entre deux UM de TGV SE par sens de circulation est supérieur à :- 15 min entre les deux premières circulations,- 20 min entre la seconde circulation et la troisième et ainsi de suite.",US,Unité de signalisation,0
"sélecteur de limitation de tension moteur  US néant ;  UM autorisée si l’espacement entre deux UM de TGV SE par sens de circulation est supérieur à :- 15 min entre les deux premières circulations,- 20 min entre la seconde circulation et la troisième et ainsi de suite.",US,Unité simple : mode de traction utilisant un seul engin moteur (us tgv = 1 rame tgv - um tgv = 2 rames tgv),1
"sélecteur de limitation de tension moteur  US néant ;  UM autorisée si l’espacement entre deux UM de TGV SE par sens de circulation est supérieur à :- 15 min entre les deux premières circulations,- 20 min entre la seconde circulation et la troisième et ainsi de suite.",US,Ultra Son,0
Réservé. A503.9 Dispositions relatives au départ des trains ne figurant pas dans la CLE propre à l'établissement DISPOSITIONS PARTICULIERES CONCERNANT LES RAMES AUTOMOTRICES EAS. Dans les établissements où il est fait mention de la lettre D sur les documents d'un train,CLE,CLERMONT FERRAND,0
Réservé. A503.9 Dispositions relatives au départ des trains ne figurant pas dans la CLE propre à l'établissement DISPOSITIONS PARTICULIERES CONCERNANT LES RAMES AUTOMOTRICES EAS. Dans les établissements où il est fait mention de la lettre D sur les documents d'un train,CLE,"Consigne Locale d'Exploitation :  Le Service chargé de la gestion des circulations établit les Consignes Locales d'Exploitation (CLE) pour chaque gare, chantier ou établissement PL.  Elles servent de base pour l'élaboration des consignes et instructions opérationnelles des EF et du Service chargé de la gestion des circulations.",1
AUTOR autorail BMVU block manuel de voie unique CLE consigne locale d'exploitation COGC centre opérationnel de gestion des circulations EM engin moteur,EM,Étude mécanique,0
AUTOR autorail BMVU block manuel de voie unique CLE consigne locale d'exploitation COGC centre opérationnel de gestion des circulations EM engin moteur,EM,EMERAINVILLE PONTAULT COMBAULT,0
AUTOR autorail BMVU block manuel de voie unique CLE consigne locale d'exploitation COGC centre opérationnel de gestion des circulations EM engin moteur,EM,électro-magnétique,0
AUTOR autorail BMVU block manuel de voie unique CLE consigne locale d'exploitation COGC centre opérationnel de gestion des circulations EM engin moteur,EM,Emetteur,0
AUTOR autorail BMVU block manuel de voie unique CLE consigne locale d'exploitation COGC centre opérationnel de gestion des circulations EM engin moteur,EM,État membre,0
AUTOR autorail BMVU block manuel de voie unique CLE consigne locale d'exploitation COGC centre opérationnel de gestion des circulations EM engin moteur,EM,"Engin Moteur.   Terme général désignant tout véhicule ayant la propriété de se déplacer par ses propres moyens : machine, automoteur, élément automoteur, draisine, engin spécial motorisé non déraillable.",1
EF entreprise ferroviaire EM engin moteur EPSF établissement public de sécurité ferroviaire GID gestionnaire d'infrastructure délégué HLP haut le pied,GID,"Gestionnaire d'Infrastructure Délégué :   Organisme, mentionné à l'article 9 du décret 2006-1279 modifié, chargé de la gestion du trafic et des circulations ainsi que du fonctionnement et de l'entretien des installations de sécurité et, le cas échéant, des installations techniques du réseau ferré national.",1
EF entreprise ferroviaire EM engin moteur EPSF établissement public de sécurité ferroviaire GID gestionnaire d'infrastructure délégué HLP haut le pied,GID,GIRONDE,0
Bif. des ANGLES - NIMES Raccordement de CHATEAUNEUF sur Isère Raccordement de BOLLENE Raccordement de LAMOTTE du Rhône Raccordement du GRAND SUD,SUD,"Solidaires, unitaires, démocratiques ( syndicat )",0
Bif. des ANGLES - NIMES Raccordement de CHATEAUNEUF sur Isère Raccordement de BOLLENE Raccordement de LAMOTTE du Rhône Raccordement du GRAND SUD,SUD,point cardinal,1
Bif. des ANGLES - NIMES Raccordement de CHATEAUNEUF sur Isère Raccordement de BOLLENE Raccordement de LAMOTTE du Rhône Raccordement du GRAND SUD,SUD,SAUMUR,0
Bif. des ANGLES - NIMES Raccordement de CHATEAUNEUF sur Isère Raccordement de BOLLENE Raccordement de LAMOTTE du Rhône Raccordement du GRAND SUD,SUD,Surveillant dépôt,0
AGC) BV bâtiment voyageurs CLE consigne locale d'exploitation COGC centre opérationnel de gestion des circulations CSS central sous-stations,CSS,Central Sous Station,1
AGC) BV bâtiment voyageurs CLE consigne locale d'exploitation COGC centre opérationnel de gestion des circulations CSS central sous-stations,CSS,Commande Standard Synchrone,0
AGC) BV bâtiment voyageurs CLE consigne locale d'exploitation COGC centre opérationnel de gestion des circulations CSS central sous-stations,CSS,carte de sortie sécuritaire,0
AGC) BV bâtiment voyageurs CLE consigne locale d'exploitation COGC centre opérationnel de gestion des circulations CSS central sous-stations,CSS,CHALON SUR SAONE,0
"kilomètres/heure (ex : 12 pour 120 km/h), d'une lettre indiquant le respect ou non des tableaux indicateurs de vitesse de type C (C respecte les TIV, N ne respecte pas les TIV). Engin moteur Véhicule ayant la capacité de se déplacer par ses propres moyens (machine ou rame automotrice).",TIV,Tableau indicateur de vitesse,1
"kilomètres/heure (ex : 12 pour 120 km/h), d'une lettre indiquant le respect ou non des tableaux indicateurs de vitesse de type C (C respecte les TIV, N ne respecte pas les TIV). Engin moteur Véhicule ayant la capacité de se déplacer par ses propres moyens (machine ou rame automotrice).",TIV,THIVIERS,0
"kilomètres/heure (ex : 12 pour 120 km/h), d'une lettre indiquant le respect ou non des tableaux indicateurs de vitesse de type C (C respecte les TIV, N ne respecte pas les TIV). Engin moteur Véhicule ayant la capacité de se déplacer par ses propres moyens (machine ou rame automotrice).",TIV,Trafic international voyageur,0
"Il appartient aux EF de vérifier la compatibilité des engins avec les sections de ligne avant d’y circuler. Les engins moteurs non mentionnés pour tout ou partie des sections de ligne constituant le ""RT"" sont réputés non compatibles sauf si l’EF dispose de l’AC correspondante non encore transcrite dans le ""RT"". L’appartenance d’un engin moteur à une série ou un groupement de séries d’engins moteurs",EF,"Entreprise Ferroviaire :   Toute entreprise à statut privé ou public, qui a notamment obtenu une licence et un certificat de sécurité conformément à la législation applicable, fournissant des prestations de transport de marchandises ou de voyageurs par chemin de fer, la traction devant obligatoirement être assurée par cette entreprise . ce terme recouvre aussi les entreprises qui assurent uniquement la traction.",1
"Il appartient aux EF de vérifier la compatibilité des engins avec les sections de ligne avant d’y circuler. Les engins moteurs non mentionnés pour tout ou partie des sections de ligne constituant le ""RT"" sont réputés non compatibles sauf si l’EF dispose de l’AC correspondante non encore transcrite dans le ""RT"". L’appartenance d’un engin moteur à une série ou un groupement de séries d’engins moteurs",EF,Essai de Frein,0
"Il appartient aux EF de vérifier la compatibilité des engins avec les sections de ligne avant d’y circuler. Les engins moteurs non mentionnés pour tout ou partie des sections de ligne constituant le ""RT"" sont réputés non compatibles sauf si l’EF dispose de l’AC correspondante non encore transcrite dans le ""RT"". L’appartenance d’un engin moteur à une série ou un groupement de séries d’engins moteurs",EF,Escalier Fixe,0
"Il appartient aux EF de vérifier la compatibilité des engins avec les sections de ligne avant d’y circuler. Les engins moteurs non mentionnés pour tout ou partie des sections de ligne constituant le ""RT"" sont réputés non compatibles sauf si l’EF dispose de l’AC correspondante non encore transcrite dans le ""RT"". L’appartenance d’un engin moteur à une série ou un groupement de séries d’engins moteurs",EF,Equipement fixe,0
"Il appartient aux EF de vérifier la compatibilité des engins avec les sections de ligne avant d’y circuler. Les engins moteurs non mentionnés pour tout ou partie des sections de ligne constituant le ""RT"" sont réputés non compatibles sauf si l’EF dispose de l’AC correspondante non encore transcrite dans le ""RT"". L’appartenance d’un engin moteur à une série ou un groupement de séries d’engins moteurs",EF,Etablissement flottant,0
"Il appartient aux EF de vérifier la compatibilité des engins avec les sections de ligne avant d’y circuler. Les engins moteurs non mentionnés pour tout ou partie des sections de ligne constituant le ""RT"" sont réputés non compatibles sauf si l’EF dispose de l’AC correspondante non encore transcrite dans le ""RT"". L’appartenance d’un engin moteur à une série ou un groupement de séries d’engins moteurs",EF,Essai journalier (des freins),0
Tout le RT OUI Historique6900067400 OUITout le RT66000 OUITout le RT HistoriqueEURO4000-II D012321_2013753000 191+390 198+446Vmax= 60km/h (Voie) et Vmax=50km/h au PK 197+121 (OA)753000 198+446 226+954 V MAX = 60 km/h755000 192+091 228+667Vmax= 40km/h (Voie) et Vmax= 30km/h au PK208+382 (OA) et Vmax= 10km/h au PK209+319 (OA)Vmax = 10 km/h au franchissement du pont km 209+319 (non repérée sur le terrain) et Vmax = 30km/h au km 208+382 (Pont)Vmax= 30km/h au PK208+382,PK,Plan de Contrôle,0
Tout le RT OUI Historique6900067400 OUITout le RT66000 OUITout le RT HistoriqueEURO4000-II D012321_2013753000 191+390 198+446Vmax= 60km/h (Voie) et Vmax=50km/h au PK 197+121 (OA)753000 198+446 226+954 V MAX = 60 km/h755000 192+091 228+667Vmax= 40km/h (Voie) et Vmax= 30km/h au PK208+382 (OA) et Vmax= 10km/h au PK209+319 (OA)Vmax = 10 km/h au franchissement du pont km 209+319 (non repérée sur le terrain) et Vmax = 30km/h au km 208+382 (Pont)Vmax= 30km/h au PK208+382,PK,"Point kilométrique : point de repère, matérialisé le long des voies ferrées, indiquant sa distance depuis un point d'origine pas obligatoirement sur la ligne (origine du chaînage : voir ci-dessus).",1
Restrictions /Commentaires N° AC 72000 Tout le RT Historique 69400 Tout le RT Historique 69000 Tout le RT Historique,AC,Attestation de Compatibilité du matériel roulant à l'infrastructure,0
Restrictions /Commentaires N° AC 72000 Tout le RT Historique 69400 Tout le RT Historique 69000 Tout le RT Historique,AC,Agent d'aCcompagnement,0
Restrictions /Commentaires N° AC 72000 Tout le RT Historique 69400 Tout le RT Historique 69000 Tout le RT Historique,AC,Autorité de Certification,0
Restrictions /Commentaires N° AC 72000 Tout le RT Historique 69400 Tout le RT Historique 69000 Tout le RT Historique,AC,Agent du service Commercial,0
Restrictions /Commentaires N° AC 72000 Tout le RT Historique 69400 Tout le RT Historique 69000 Tout le RT Historique,AC,Action Corrective,0
Restrictions /Commentaires N° AC 72000 Tout le RT Historique 69400 Tout le RT Historique 69000 Tout le RT Historique,AC,Accord Cadre,0
Restrictions /Commentaires N° AC 72000 Tout le RT Historique 69400 Tout le RT Historique 69000 Tout le RT Historique,AC,AURILLAC,0
Restrictions /Commentaires N° AC 72000 Tout le RT Historique 69400 Tout le RT Historique 69000 Tout le RT Historique,AC,Agent Circulation,0
Restrictions /Commentaires N° AC 72000 Tout le RT Historique 69400 Tout le RT Historique 69000 Tout le RT Historique,AC,ACcès,0
Restrictions /Commentaires N° AC 72000 Tout le RT Historique 69400 Tout le RT Historique 69000 Tout le RT Historique,AC,Amélioration Continue,0
"et des circulations Etablissement Infra Circulation de Midi-Pyrénées - Pôle sécurité, Pôle production, Pôle EER, BHR,COGC Etablissement Infra Circulation de … - Unité opérationnelle de Infra Nord, DPX Rodez, DPX Capdenac.",BHR,Base horaire régionale (alimentée par thor via harem - infrastructure),0
"et des circulations Etablissement Infra Circulation de Midi-Pyrénées - Pôle sécurité, Pôle production, Pôle EER, BHR,COGC Etablissement Infra Circulation de … - Unité opérationnelle de Infra Nord, DPX Rodez, DPX Capdenac.",BHR,Bureau horaires régional,1
"et des circulations Etablissement Infra Circulation de Midi-Pyrénées - Pôle sécurité, Pôle production, Pôle EER, BHR,COGC Etablissement Infra Circulation de … - Unité opérationnelle de Infra Nord, DPX Rodez, DPX Capdenac.",BHR,BLESLE,0
équivalent Un itinéraire est équivalent lorsque les trains peuvent être dirigés vers cet itinéraire sans accord préalable des EF concernées sauf cas prévus dans les règles opérationnelles relatives à la gestion des circulations.,EF,Essai journalier (des freins),0
équivalent Un itinéraire est équivalent lorsque les trains peuvent être dirigés vers cet itinéraire sans accord préalable des EF concernées sauf cas prévus dans les règles opérationnelles relatives à la gestion des circulations.,EF,Etablissement flottant,0
équivalent Un itinéraire est équivalent lorsque les trains peuvent être dirigés vers cet itinéraire sans accord préalable des EF concernées sauf cas prévus dans les règles opérationnelles relatives à la gestion des circulations.,EF,Equipement fixe,0
équivalent Un itinéraire est équivalent lorsque les trains peuvent être dirigés vers cet itinéraire sans accord préalable des EF concernées sauf cas prévus dans les règles opérationnelles relatives à la gestion des circulations.,EF,"Entreprise Ferroviaire :   Toute entreprise à statut privé ou public, qui a notamment obtenu une licence et un certificat de sécurité conformément à la législation applicable, fournissant des prestations de transport de marchandises ou de voyageurs par chemin de fer, la traction devant obligatoirement être assurée par cette entreprise . ce terme recouvre aussi les entreprises qui assurent uniquement la traction.",1
équivalent Un itinéraire est équivalent lorsque les trains peuvent être dirigés vers cet itinéraire sans accord préalable des EF concernées sauf cas prévus dans les règles opérationnelles relatives à la gestion des circulations.,EF,Essai de Frein,0
équivalent Un itinéraire est équivalent lorsque les trains peuvent être dirigés vers cet itinéraire sans accord préalable des EF concernées sauf cas prévus dans les règles opérationnelles relatives à la gestion des circulations.,EF,Escalier Fixe,0
"poteau « tous services » situé en butoir de la voie concernée. - l'autorisation de départ est donnée par l'agent sédentaire au moyen du signal lumineux de départ (SLD) commandé du poteau « tous services » du fond de la voie concernée : - Après la mise en mouvement, en cas d'arrêt (suite à demande d'arrêt d'urgence, signal d'alarme, prise en charge par un automatisme....) avec une ou plusieurs voitures à quai, le",SLD,SALINDRES,0
"poteau « tous services » situé en butoir de la voie concernée. - l'autorisation de départ est donnée par l'agent sédentaire au moyen du signal lumineux de départ (SLD) commandé du poteau « tous services » du fond de la voie concernée : - Après la mise en mouvement, en cas d'arrêt (suite à demande d'arrêt d'urgence, signal d'alarme, prise en charge par un automatisme....) avec une ou plusieurs voitures à quai, le",SLD,Signal lumineux de départ,1
AC attestation de compatibilité AGC automoteur grande capacité AMEC autorisation de mise en exploitation commerciale COGC centre opérationnel de gestion des circulations EF entreprise ferroviaire,EF,Essai journalier (des freins),0
AC attestation de compatibilité AGC automoteur grande capacité AMEC autorisation de mise en exploitation commerciale COGC centre opérationnel de gestion des circulations EF entreprise ferroviaire,EF,"Entreprise Ferroviaire :   Toute entreprise à statut privé ou public, qui a notamment obtenu une licence et un certificat de sécurité conformément à la législation applicable, fournissant des prestations de transport de marchandises ou de voyageurs par chemin de fer, la traction devant obligatoirement être assurée par cette entreprise . ce terme recouvre aussi les entreprises qui assurent uniquement la traction.",1
AC attestation de compatibilité AGC automoteur grande capacité AMEC autorisation de mise en exploitation commerciale COGC centre opérationnel de gestion des circulations EF entreprise ferroviaire,EF,Escalier Fixe,0
AC attestation de compatibilité AGC automoteur grande capacité AMEC autorisation de mise en exploitation commerciale COGC centre opérationnel de gestion des circulations EF entreprise ferroviaire,EF,Etablissement flottant,0
AC attestation de compatibilité AGC automoteur grande capacité AMEC autorisation de mise en exploitation commerciale COGC centre opérationnel de gestion des circulations EF entreprise ferroviaire,EF,Equipement fixe,0
AC attestation de compatibilité AGC automoteur grande capacité AMEC autorisation de mise en exploitation commerciale COGC centre opérationnel de gestion des circulations EF entreprise ferroviaire,EF,Essai de Frein,0
EM engin moteur EP embranchement particulier EPSF établissement public de sécurité ferroviaire GID gestionnaire d'infrastructure délégué HLP haut le pied,EM,État membre,0
EM engin moteur EP embranchement particulier EPSF établissement public de sécurité ferroviaire GID gestionnaire d'infrastructure délégué HLP haut le pied,EM,Étude mécanique,0
EM engin moteur EP embranchement particulier EPSF établissement public de sécurité ferroviaire GID gestionnaire d'infrastructure délégué HLP haut le pied,EM,Emetteur,0
EM engin moteur EP embranchement particulier EPSF établissement public de sécurité ferroviaire GID gestionnaire d'infrastructure délégué HLP haut le pied,EM,"Engin Moteur.   Terme général désignant tout véhicule ayant la propriété de se déplacer par ses propres moyens : machine, automoteur, élément automoteur, draisine, engin spécial motorisé non déraillable.",1
EM engin moteur EP embranchement particulier EPSF établissement public de sécurité ferroviaire GID gestionnaire d'infrastructure délégué HLP haut le pied,EM,EMERAINVILLE PONTAULT COMBAULT,0
EM engin moteur EP embranchement particulier EPSF établissement public de sécurité ferroviaire GID gestionnaire d'infrastructure délégué HLP haut le pied,EM,électro-magnétique,0
té Restrictions /Commentaires N° AC VT08 Tout le RT / Compatibilité : OUI / Restrictions : Néant Historique,AC,Amélioration Continue,0
té Restrictions /Commentaires N° AC VT08 Tout le RT / Compatibilité : OUI / Restrictions : Néant Historique,AC,Agent du service Commercial,0
té Restrictions /Commentaires N° AC VT08 Tout le RT / Compatibilité : OUI / Restrictions : Néant Historique,AC,Agent Circulation,0
té Restrictions /Commentaires N° AC VT08 Tout le RT / Compatibilité : OUI / Restrictions : Néant Historique,AC,AURILLAC,0
té Restrictions /Commentaires N° AC VT08 Tout le RT / Compatibilité : OUI / Restrictions : Néant Historique,AC,Accord Cadre,0
té Restrictions /Commentaires N° AC VT08 Tout le RT / Compatibilité : OUI / Restrictions : Néant Historique,AC,ACcès,0
té Restrictions /Commentaires N° AC VT08 Tout le RT / Compatibilité : OUI / Restrictions : Néant Historique,AC,Attestation de Compatibilité du matériel roulant à l'infrastructure,1
té Restrictions /Commentaires N° AC VT08 Tout le RT / Compatibilité : OUI / Restrictions : Néant Historique,AC,Action Corrective,0
té Restrictions /Commentaires N° AC VT08 Tout le RT / Compatibilité : OUI / Restrictions : Néant Historique,AC,Autorité de Certification,0
té Restrictions /Commentaires N° AC VT08 Tout le RT / Compatibilité : OUI / Restrictions : Néant Historique,AC,Agent d'aCcompagnement,0
Page 4 NMD-RT-3403B- Version 02 du 07-01-2017  Article B101 Domaine de circulation Il appartient aux EF de vérifier la compatibilité des engins avec les sections de ligne avant d’y,EF,Equipement fixe,0
